ingredient_name,e_number,regulatory_category,our_category,type,harm_level,source,reference,harm_justification,scientific_references,regulatory_status
orthophenyl phenol content,E231,Preservative,harmful_preservative,artificial,HIGH,EFSA,E231,Preservative with safety concerns. May cause allergic reactions or linked to health issues in studies. Use restricted in some applications.,"EFSA under review, FDA approved with limitations","Approved: EU, US, Canada; Restrictions apply"
eryhtrtl,E968,Sweetener,natural_sweetener,natural,LOW,EFSA,E968,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
INS 965,E965,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E965,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
INS124,E124,Color,harmful_color,artificial,HIGH,EFSA,E124,Ponceau 4R/Cochineal Red A azo dye. Linked to hyperactivity. Can cause allergic reactions including anaphylaxis.,"McCann 2007, EFSA Journal 2009;7(11):1328","Approved: EU (warning); Banned: US, Norway"
sonflowr oil,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
E 961,E961,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E961,Artificial sweetener with regulatory approval. Potential effects on gut microbiome and metabolism under research.,EFSA/FDA approved,"Approved: EU, US, Canada"
oliva uil,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
E.282,E282,Preservative,moderate_preservative,processed,MEDIUM,EFSA,E282,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
caermel uclor,,Color,moderate_color,processed,MEDIUM,FDA GRAS,21 CFR 73.85,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
Fruit Products (0.7%) (Apple Juice Concentrate,,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
fructose content,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1866,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
baking owder,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 182.1,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
whetstarch,,Thickener,emulsifier_stabilizer,processed,LOW,FooDB,,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
inosinc acid,E630,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E630,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
INS-251,E251,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E251,Sodium nitrate converts to nitrite in body. Associated with increased cancer risk in processed meats.,"EFSA Journal 2017;15(6):4786, WHO/IARC 2015","Approved: EU, US, Canada; Restricted use"
LECITHIN,,Emulsifier,emulsifier_stabilizer,processed,LOW,FDA GRAS,21 CFR 184.1400,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
SALT,,Preservative,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 184.1634,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
beng sdoa,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1736,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
E.283,E283,Preservative,moderate_preservative,processed,MEDIUM,EFSA,E283,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
E-460,E460,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E460,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
E-140,E140,Color,natural_color,natural,VERY_LOW,EFSA,E140,"Natural color additive from plant/mineral sources. Generally safe, some may cause allergies.",EFSA/FDA approved,"Approved: EU, US, Canada"
FRUIT PRODUCTS (0.7%) (APPLE JUICE CONCENTRATE,,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
ins270 as color,E270,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E270,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
E.954,E954,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E954,Saccharin oldest artificial sweetener. Removed from US carcinogen list in 2000. EFSA ADI 5 mg/kg/day.,"EFSA Journal 2017;15(3):4699, FDA Delisted 2000","Approved: EU, US, Canada"
INS 262,E262,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E262,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
Baking Soda,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1736,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
INS249,E249,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E249,Potassium nitrite can form carcinogenic nitrosamines in meat. IARC Group 2A (probably carcinogenic). EFSA lowered ADI to 0.07 mg/kg/day.,"EFSA Journal 2017;15(6):4786, IARC Monograph 94","Approved: EU, US, Canada; Restricted quantities; Cancer link"
E.202,E202,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E202,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
E 282,E282,Preservative,moderate_preservative,processed,MEDIUM,EFSA,E282,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
with moltodextryn,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
xylitl,E967,Sweetener,natural_sweetener,natural,LOW,EFSA,E967,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
including inulin,,Fiber,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
INS 270,E270,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E270,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
hydraxypropyl cellolose,E463,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E463,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
sodiu suplhite,E221,Preservative,harmful_preservative,artificial,HIGH,EFSA,E221,"Sodium sulfite causes allergic reactions, particularly in asthmatics. FDA requires labeling >10ppm.","EFSA Journal 2016;14(4):4438, FDA 21 CFR 182.3637","Approved: EU, US, Canada; Allergen warning required"
maltodextin,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
bht as preservative,E321,Antioxidant,harmful_preservative,artificial,HIGH,EFSA,E321,BHT (Butylated hydroxytoluene) potential endocrine disruptor. Studies show conflicting results on carcinogenicity. EFSA re-evaluating.,"EFSA Journal 2012;10(3):2588, EWG Score: 5/10","Approved: EU, US, Canada; Under review"
lactose content,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1425,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
INS952,E952,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E952,Cyclamate banned in US since 1969 due to animal cancer studies. Still approved in EU with ADI 7 mg/kg/day.,"EFSA Journal 2017;15(12):5059, FDA Banned 1969","Banned: US; Approved: EU, Canada"
silcon ioxide,,Anti-caking agent,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
ba-carotene,,Color,natural_color,natural,VERY_LOW,FDA GRAS,21 CFR 73.95,"Natural color additive from plant/mineral sources. Generally safe, some may cause allergies.",EFSA/FDA approved,"Approved: EU, US, Canada"
potassium benzoate content,E212,Preservative,harmful_preservative,artificial,HIGH,EFSA,E212,Potassium benzoate similar concerns to E211. Can trigger allergic reactions in sensitive individuals.,EFSA Journal 2016;14(3):4433,"Approved: EU, US, Canada"
malic acid,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1069,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
INS-104,E104,Color,harmful_color,artificial,HIGH,EFSA,E104,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
Delta-Tocopherol,E309,Antioxidant,natural_preservative,natural,VERY_LOW,EFSA,E309,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
INS-260,E260,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E260,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
corn syurp added,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 168.120,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
silicon dioxide added,,Anti-caking agent,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
mlik products (milk solids & sweetened condenesd milk),,Crowdsourced,refined_sugar,processed,MEDIUM,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as refined_sugar. Needs expert review.,"Crowdsourced data, no official references",Unknown
INS 155,E155,Color,harmful_color,artificial,HIGH,EFSA,E155,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
CYCALMATE,E952,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E952,Cyclamate banned in US since 1969 due to animal cancer studies. Still approved in EU with ADI 7 mg/kg/day.,"EFSA Journal 2017;15(12):5059, FDA Banned 1969","Banned: US; Approved: EU, Canada"
frctosi,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1866,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
calcium silicate ocntent,,Anti-caking agent,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
E421,E421,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E421,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
133,E133,Color,harmful_color,artificial,HIGH,EFSA,E133,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
INS 625,E625,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E625,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
E283,E283,Preservative,moderate_preservative,processed,MEDIUM,EFSA,E283,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
soaclose,E955,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E955,Sucralose approved with ADI 15 mg/kg/day. Studies show minimal absorption. Some research suggests effects on insulin response.,"EFSA Journal 2017;15(12):5063, FDA GRAS Notice GRN 000064","Approved: EU, US, Canada"
wiht ethyl vanillin,,Flavor,flavor_enhancer,processed,MEDIUM,FooDB,,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
beking powdr as sweetener,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 182.1,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
caffeine added,,Stimulant,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
vegetable oil as color,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
950,E950,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E950,Acesulfame K approved by EFSA with ADI of 9 mg/kg/day. Some studies suggest potential gut microbiome effects.,"EFSA Journal 2000;1800, FDA GRAS Notice GRN 000037","Approved: EU, US, Canada"
INS470b,E470b,Emulsifier,emulsifier_stabilizer,processed,LOW,EFSA,E470b,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
contains quinoline yellow (E104),E104,Color,harmful_color,artificial,HIGH,EFSA,E104,Synthetic azo dye linked to hyperactivity in children (Southampton Study). EU requires warning label. Allergic reactions reported.,"McCann 2007 (Lancet), EFSA re-evaluation","Approved: EU (warning required); Some banned in Norway, US"
esn957,E957,Sweetener,natural_sweetener,natural,LOW,EFSA,E957,Thaumatin natural protein sweetener from katemfe fruit. EFSA no ADI needed (safe). Used in small quantities.,EFSA Journal 2015;13(11):4290,"Approved: EU, US, Canada"
POLYSORBATE 60,,Emulsifier,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 172.836,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
added potassium bicarbonate,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1613,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
100,E100,Color,natural_color,natural,VERY_LOW,EFSA,E100,"Curcumin from turmeric. Natural, anti-inflammatory properties. EFSA ADI 3 mg/kg/day. Generally safe.","EFSA Journal 2010;8(9):1679, FDA GRAS","Approved: EU, US, Canada; Generally safe"
Carmine,E120,Color,natural_color,natural,VERY_LOW,EFSA,E120,Carmine/Cochineal from insects. Natural but can cause severe allergic reactions. Some ethical concerns (insects).,"EFSA Journal 2015;13(11):4288, FDA Mandatory labeling","Approved: EU, US, Canada; Allergen warning required"
Malic Acid,,Acid,acid,natural,VERY_LOW,FDA GRAS,21 CFR 184.1069,"Food acid used for flavor, preservation, pH control. Generally safe.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
hnooy,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 184.1410,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
added disodium inosinate,E631,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E631,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
Calcium acetate,E263,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E263,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
INS-330,E330,Antioxidant,natural_preservative,natural,VERY_LOW,EFSA,E330,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
emulsifiers [322y) & 471 as sweetener,,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
craotense,E160a,Color,natural_color,natural,VERY_LOW,EFSA,E160a,"Natural color additive from plant/mineral sources. Generally safe, some may cause allergies.",EFSA/FDA approved,"Approved: EU, US, Canada"
amltodextrin as sweeener,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
including ntaamycin,E235,Preservative,natural_preservative,natural,VERY_LOW,EFSA,E235,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
482,E482,Emulsifier,emulsifier_stabilizer,processed,LOW,EFSA,E482,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
with alt,,Preservative,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 184.1634,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
E312,E312,Antioxidant,harmful_preservative,artificial,HIGH,EFSA,E312,Preservative with safety concerns. May cause allergic reactions or linked to health issues in studies. Use restricted in some applications.,"EFSA under review, FDA approved with limitations","Approved: EU, US, Canada; Restrictions apply"
maples yrop,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 168.140,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
oheyn,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 184.1410,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
mergarine as color,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 166.110,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
E122,E122,Color,harmful_color,artificial,HIGH,EFSA,E122,Carmoisine/Azorubine azo dye. Southampton Study participant. Associated with hyperactivity. Allergic reactions reported.,"McCann 2007, EFSA Journal 2009;7(11):1332","Approved: EU (warning); Banned: US, Canada, Japan, Norway"
fructose,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1866,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
E.962,E962,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E962,Artificial sweetener with regulatory approval. Potential effects on gut microbiome and metabolism under research.,EFSA/FDA approved,"Approved: EU, US, Canada"
ammonium bicarbnoate,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1135,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
corn oil,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
lgucse as color,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1395,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
luein,E161b,Color,natural_color,natural,VERY_LOW,EFSA,E161b,"Natural color additive from plant/mineral sources. Generally safe, some may cause allergies.",EFSA/FDA approved,"Approved: EU, US, Canada"
gluocse,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 184.1395,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
adde cramel color,,Color,moderate_color,processed,MEDIUM,FDA GRAS,21 CFR 73.85,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
salt of asprtam-acesulfame,E962,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E962,Artificial sweetener with regulatory approval. Potential effects on gut microbiome and metabolism under research.,EFSA/FDA approved,"Approved: EU, US, Canada"
cron iol,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
corn syurp as color,,Sweetener,refined_sugar,processed,MEDIUM,FDA GRAS,21 CFR 168.120,"Refined sugar. GRAS but linked to obesity, diabetes, cardiovascular disease when consumed in excess.","WHO recommends <10% daily calories, FDA GRAS",Approved: worldwide; Health warnings in some countries
Yxlitl,E967,Sweetener,natural_sweetener,natural,LOW,EFSA,E967,Natural-origin sweetener. Generally recognized as safe with established ADI.,EFSA/FDA GRAS status,"Approved: EU, US, Canada"
E-302,E302,Antioxidant,natural_preservative,natural,VERY_LOW,EFSA,E302,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
maltodextrin content,,Bulking agent,thickener,processed,LOW,FooDB,,Thickening agent approved for food use. Generally safe.,EFSA/FDA approved,"Approved: EU, US, Canada"
dacetyl,,Flavor,flavor_enhancer,processed,MEDIUM,FooDB,,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
bkn gpowder,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 182.1,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
soduim nitrate,E251,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E251,Sodium nitrate converts to nitrite in body. Associated with increased cancer risk in processed meats.,"EFSA Journal 2017;15(6):4786, WHO/IARC 2015","Approved: EU, US, Canada; Restricted use"
added raising agents (503(ii) & 500(ii)) nature identical and artificial (mixed fruit,,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: , Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
HONEY,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 184.1410,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
inlun,,Fiber,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
conatins soybean oil,,Fat,fat,natural,LOW,FDA GRAS,21 CFR 184.1555,Dietary fat. Health impact depends on type (saturated vs unsaturated) and quantity.,"FDA GRAS, WHO dietary guidelines",Approved: worldwide
INS 250,E250,Preservative,very_harmful_preservative,artificial,VERY_HIGH,EFSA,E250,Sodium nitrite forms nitrosamines when heated with proteins. Linked to colorectal cancer. Essential for botulism prevention in cured meats.,"EFSA Journal 2017;15(6):4786, IARC Group 2A","Approved: EU, US, Canada; Cancer warning; Max 150ppm"
potassium bicarbonate as preservative as preservative,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1613,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
added rice bran),,Crowdsourced,other,unknown,UNKNOWN,Firebase,"Product: Mung Dal, Verified: 3 users",Crowdsourced ingredient from verified products. Classified heuristically as other. Needs expert review.,"Crowdsourced data, no official references",Unknown
e.623 (E623),E623,Flavor enhancer,flavor_enhancer,processed,MEDIUM,EFSA,E623,Flavor enhancer approved by regulators. Some consumers report sensitivity symptoms.,EFSA/FDA approved,"Approved: EU, US, Canada; Labeling required"
maple syrup content,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 168.140,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
sodiucmhloride as color,,Preservative,moderate_preservative,processed,MEDIUM,FDA GRAS,21 CFR 184.1634,Approved preservative with established ADI. Generally well-tolerated but some sensitivity reported.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
with lactitol,E966,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E966,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
E 301,E301,Antioxidant,natural_preservative,natural,VERY_LOW,EFSA,E301,"Natural preservative, generally safe with low toxicity. EFSA approved with ADI or no ADI needed.",EFSA/FDA GRAS,"Approved: EU, US, Canada"
Gum arabic,E414,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E414,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
gu marbaic,E414,Stabilizer,emulsifier_stabilizer,processed,LOW,EFSA,E414,Emulsifier/stabilizer approved for food use. Generally safe in approved quantities.,EFSA/FDA GRAS or approved additive,"Approved: EU, US, Canada"
e-105a,E150a,Color,moderate_color,processed,MEDIUM,EFSA,E150a,Color additive with acceptable safety profile but some processing concerns.,EFSA/FDA approved with ADI,"Approved: EU, US, Canada"
honey as color,,Sweetener,natural_sugar,natural,LOW,FDA GRAS,21 CFR 184.1410,Natural sugar source. Contains some micronutrients but still high glycemic impact.,"FDA GRAS, WHO sugar guidelines apply",Approved: worldwide
E 955,E955,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E955,Sucralose approved with ADI 15 mg/kg/day. Studies show minimal absorption. Some research suggests effects on insulin response.,"EFSA Journal 2017;15(12):5063, FDA GRAS Notice GRN 000064","Approved: EU, US, Canada"
BIPHENYL,E230,Preservative,harmful_preservative,artificial,HIGH,EFSA,E230,Preservative with safety concerns. May cause allergic reactions or linked to health issues in studies. Use restricted in some applications.,"EFSA under review, FDA approved with limitations","Approved: EU, US, Canada; Restrictions apply"
POTASSIUM BICARBONATE,,Leavening agent,leavening_agent,natural,VERY_LOW,FDA GRAS,21 CFR 184.1613,Leavening agent used in baking. Generally recognized as safe.,FDA GRAS,Approved: worldwide
added silicon dioxde,,Anti-caking agent,other,unknown,UNKNOWN,FooDB,,Approved food additive or ingredient. Safety profile varies by specific substance.,EFSA/FDA approved or GRAS,Approved: varies by ingredient
INS955,E955,Sweetener,artificial_sweetener,artificial,MEDIUM,EFSA,E955,Sucralose approved with ADI 15 mg/kg/day. Studies show minimal absorption. Some research suggests effects on insulin response.,"EFSA Journal 2017;15(12):5063, FDA GRAS Notice GRN 000064","Approved: EU, US, Canada"
INS-953,E953,Sweetener,sugar_alcohol,processed,MEDIUM,EFSA,E953,Sugar alcohol approved as sweetener. Can cause digestive discomfort (laxative effect) in large amounts.,EFSA/FDA approved with warnings,"Approved: EU, US, Canada; Laxative warning required"
